questions,answers
What if one of my rentals doesn't fit?,"Your membership covers you for 2 orders each month, so if anything ever doesn't work out you can always choose to swap your entire order or keep renting what you love & swap out the rest :). Just mark which items you're transferring to your next order, send back the rest, and choose new items!Note, you can transfer up to 5 items to your next order for free. Any items you transfer will take up a spot in your next rental order."
Can I purchase items I haven't rented before?,Absolutely! You can purchase items at any time by selecting the Purchase for option on the product page. Simply add to cart and checkout!
What if I need more items?,"Your membership covers you for 2 orders each month, but if you've already returned your 2 orders for the month and you want to receive more items before your next shipment unlocks, simply add more items to cart and checkout! You'll be charged $49.95 (plus applicable tax) for your 3rd shipment upon checkout."
Do I get to choose my items?,"YES. You choose your items, always! And we would never send you something you don’t want. Hand select your 5 clothing items + 1 accessory for every order from the 100s of brands on our site. If you need any help, we have an expert team of stylists you can message any time - but ultimately you’ll be in the driver’s seat, every time."
How do I return my order?,"When you’re ready to swap out your items, just use the pre-labeled FedEx return bag included in your order to pack up and send back your rentals! Don't have time to run to FedEx? Schedule an Uber pick-up from your Uber account to send back your FashionPass return! You'll always be able to place your next order within a few hours of the scan from FedEx."
How often do you drop new arrivals?,"Every. Single. Day. Check out our New Arrivals page to browse the latest FashionPass drops. Our inventory is also constantly rotating and items are restocked all day, every day, but if you ever need help picking your items, we have an expert team of stylists you can reach out to any time :)"
What happens if I spill on my rental?,"We get it, we’ve had our fair share of spills! Good news is we have a best-in-class team of cleaners, so chances are we can get out the stain and restore the item to like-new condition. Your membership also covers these minor mishaps so no need to stress!"
Can I save items to plan my future FashionPass orders?,"Yes! You can use the Save for Later feature to add items your rental queue. Your saves will always show up in your cart, so you can easily move them to your cart + check out!You can also use the heart button in the top right corner of each product to favorite items as you're browsing! The Create a Board feature is the perfect way to plan for an upcoming trip or event :)."
What condition will my rentals arrive in?,"Your rentals will always arrive in like-new condition. Each item is thoughtfully cared for and inspected by our amazing team of professionals, and every item is always carefully reviewed prior to leaving our facility."
Why do some of my rentals have tags on them?,"If your rental items ever have tags on them, this just means that you're the first person to receive them! You can remove any hang tags and wear them like normal."
Will the clothes need to be steamed when they arrive?,"Due to the nature of shipping, some items may be slightly wrinkled upon arrival. If any of your rentals ever arrive with wrinkles, we ask that you steam the item on low heat. We kindly ask that you do not use an iron or dryer to remove wrinkles, as the fabrication of some items may be sensitive to heat."
Am I able to wash or dry clean my rental items?,"To maintain the longevity and quality of our items we do not permit members to wash or dry clean their rental items. All of our items are professionally cleaned at our in-house dry cleaning facility, and our amazing team of professionals use a wide variety of techniques to make sure each piece is thoroughly cleaned according to its specific care requirements."
How will I be billed for my membership?,"Your subscription starts the date you sign up for the FashionPass membership. Your billing cycle date falls on the same day of the month that your membership was activated, and your card will be automatically charged for the price of your monthly membership ($125 mo, plus applicable tax) on the same date each month.For example, if you sign up on the 11th of the month, your card will be charged on the 11th of each going forward."
Can I change the card attached to my membership?,You can update your payment method any time in the Billing Info section of the My Account menu.
Can I change my billing date?,"Your subscription begins the date you sign up for the FashionPass membership, and it is unable to be changed or extended."
Do you charge any late fees?,All past due membership invoices that are over 30 days past due will incur a 10% late fee penalty.
How do I pause or cancel my FashionPass membership?,"You can pause or cancel your membership by visiting My FashionPass in the My Account menu. From there, you can click pause membership or cancel membership. We recommend pausing your membership if you know you'll be back soon, but if you need a longer break, you can always select cancel membership!Keep in mind, you’ll need to return your order before the end of your current billing cycle for the cancellation to take effect. If your package is not scanned in at FedEx by the end of your current billing cycle, your account will remain active and you will continue to be billed for your FashionPass membership."
How do I return my FashionPass rentals?,"When you're ready, simply place any rentals you are not keeping into the prepaid FedEx Ground return bag included in your order. Then, take it to your nearest FedEx or FedEx Walgreens location to be scanned in! You'll receive an email to choose your next rentals within a few hours of the acceptance scan from FedEx.IMPORTANT:Do not drop your return into a FedEx Express Drop Box or your return may be lost."
Where can I reprint my return label to send back my rentals?,You can always reprint your return label from the My Orders page on your account :).
Can I leave my FashionPass return in my mailroom or with my front desk to be picked up?,"To ensure the smoothest return process, we highly recommend taking your rental return directly to an approved FedEx location and having it scanned in by a FedEx employee.FashionPass is not liable for returns that are not scanned as accepted by FedEx."
How can I use a delivery service to return my rentals?,"To return your FashionPass items using a delivery service (e.g. Uber), simply login to your account and select FedEx Dropoffs. Enter your pickup location and select the nearest FedEx Ground location as your dropoff location!"
When will I be able to place my next order after sending back my return with a delivery service?,"Once your driver has had your FashionPass return scanned by FedEx, you’ll be able to place your next order within a few hours :)!"
Do you ship internationally?,"At this time we only ship orders within the U.S., including Hawaii and Alaska. Orders must also be returned from within the U.S."
What should I do if I stain or spill on one of my rentals?,"Since you're covered for minor mishaps and general wear and tear, we kindly ask that you do not attempt to wash or dry clean your rental items. We have a team of professionals that know how to exactly how to repair and care for each and every item, so they will take care of it at our in-house dry cleaning facility.Note, we will do everything we possibly can to restore items to like-new condition upon return. However, if the item is damaged beyond repair, you'll be charged the member price of the item."
Choose your 5 items + 1 bonus accessory,"Every order, pick any 5 items (+1 free accessory!) to wear, love, & rake in the compliments."
Rent 2 orders per month,"When you drop off your 1st order, you can start renting your 2nd monthly order that same day. Every month on your billing date your account resets with 2 new orders that you can place."
Free 1-3 day shipping,Orders placed before 12pm PST are shipped same day and will arrive to you in just 1-3 days! Rush overnight shipping options also available.
Easy returns & free dry cleaning,"When you're ready for your next order, return some or all of your items in your pre-labeled return bag. Don't worry about the cleaning or repairs, we handle that for you!"
